ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
HIDALGO,2014,1531,877,734,490,105676,77595,40607,32466,37708,33830,14739,14541,1822,380,584,380,81219,40230,20514,40230,21806,12300,4829,3913
JALISCO,2014,2318,1002,1424,792,156177,107953,81779,70294,65138,49140,32263,29903,2328,830,815,830,134703,62877,43618,62877,42749,22480,13845,9200
MEXICO,2014,8898,4706,5230,3010,475591,269467,239401,139336,170374,104291,77094,51641,6170,1235,2359,1235,260600,78538,87310,78538,59329,21630,23114,7721
MICHOACAN,2014,1763,709,930,519,103000,62288,41803,34025,33664,24654,14705,12431,2014,354,681,354,85203,30821,27620,30821,17403,7446,5480,2945
MORELOS,2014,1567,525,828,371,95245,49866,45459,28602,34397,21325,16614,12119,1072,140,445,140,38397,12921,12247,12921,8953,3511,2708,1489
NAYARIT,2014,473,164,281,136,35292,24304,15977,15071,11699,8965,5410,5354,680,194,280,194,27493,12213,8917,12213,5902,2580,1982,1398
"NUEVO LEON",2014,1643,429,878,319,121827,67072,55573,34828,74131,41329,32595,20484,2247,408,940,408,79104,29388,28375,29388,44927,15819,15089,6200
OAXACA,2014,2107,748,1097,447,185125,98282,79958,46050,67055,40132,27875,18678,1764,311,617,311,101767,24867,29652,24867,14740,4438,4247,1616
PUEBLA,2014,3120,1188,1532,731,244490,153444,100817,66712,118938,78854,51269,34596,3354,973,1229,973,142002,54984,49047,54984,41513,15688,15471,5887
QUERETARO,2014,1095,415,577,230,82695,47046,40972,21769,36060,21366,15155,9215,1043,238,406,238,71961,31359,22523,31359,22692,10605,6734,3985
"QUINTANA ROO",2014,551,119,310,100,49625,21318,17936,10482,17222,7922,6144,4041,768,100,315,100,43043,13602,12489,13602,13045,4344,3731,1888
"SAN LUIS POTOSI",2014,1258,344,713,275,134731,77327,60340,42483,60225,38707,26061,20767,1717,307,593,307,118873,45104,39432,45104,41627,17192,13733,8137
SINALOA,2014,2496,1184,1416,987,82652,55706,43071,38133,32697,23286,14045,14456,17422,2271,5975,2271,535836,81474,182782,81474,67067,13558,17452,6852
SONORA,2014,1194,352,547,286,56584,32274,24358,18343,22450,12916,9290,7385,3012,466,870,466,64616,19537,17841,19537,17153,5497,4206,2635
TABASCO,2014,1454,305,672,210,165086,67096,61131,32133,81581,34794,29798,15021,1455,170,638,170,83054,20132,32173,20132,26239,7536,10324,3643
TAMAULIPAS,2014,1989,712,1112,530,148103,77375,70857,47291,92658,50836,44006,29622,1617,379,643,379,120534,52545,46227,52545,68280,27978,25794,17096
TLAXCALA,2014,582,164,323,141,64123,42658,30663,22674,37403,25623,17190,13270,438,120,299,120,51625,22611,23303,22611,21655,10507,9683,4580
VERACRUZ,2014,3940,1222,1637,703,333498,181166,110635,73122,94797,58889,33765,24825,2346,531,701,531,141648,54030,37130,54030,21644,9332,6641,3625
YUCATAN,2014,571,168,292,117,74674,41968,26965,17700,32207,20219,11998,8422,947,186,352,186,72561,24463,26382,24463,21950,9019,7677,4297
ZACATECAS,2014,723,307,406,256,63979,46396,29995,25514,27810,22809,12807,12012,1211,361,450,361,86086,40363,26282,40363,26739,14227,9298,6597
