ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
GUANAJUATO,2018,2251,903,1068,642,366465,263726,126301,119997,134550,123479,49140,57722,2794,719,878,719,372605,232563,94658,232563,94040,81690,23518,25350
GUERRERO,2018,2214,897,1038,569,168202,94835,50010,38729,42776,32586,15500,14990,1738,411,552,411,119533,41697,25837,41697,28468,13073,6747,4975
HIDALGO,2018,980,403,424,213,122632,83964,36857,32222,41415,36284,13066,14081,974,258,255,258,82849,43260,17083,43260,23515,15920,4623,4477
JALISCO,2018,1532,862,772,507,141358,117279,50347,57841,56161,55043,19673,26704,1430,504,567,504,134076,91095,35437,91095,30321,28521,7591,9860
MEXICO,2018,4009,2327,2083,1209,296373,235318,99194,90297,75956,72729,25882,28016,3655,1082,1009,1082,174869,112495,39277,112495,41844,36127,9118,8517
MICHOACAN,2018,1077,470,444,327,73178,51710,22489,22053,18249,16406,5984,7215,938,228,271,228,65466,36007,14411,36007,14233,11389,2852,3399
MORELOS,2018,1348,748,686,419,57991,40377,21205,18008,16244,13817,6770,6394,808,325,300,325,27014,15969,7450,15969,6494,5074,1736,1423
NAYARIT,2018,456,265,201,152,23585,19121,7659,9633,8788,8987,3034,4696,451,185,155,185,21479,12148,5536,12148,4321,3228,1164,1323
"NUEVO LEON",2018,811,364,360,187,83167,58013,27458,23499,38179,30753,13082,12372,984,303,285,303,74356,41545,18776,41545,16219,12290,3969,3958
OAXACA,2018,316,118,178,58,41060,26520,12556,10090,8323,7973,3299,3444,258,64,72,64,26324,11316,5699,11316,6848,4085,1298,1122
PUEBLA,2018,1081,459,446,254,259527,176682,88060,71949,103100,84727,38189,36966,679,212,209,212,156199,85765,39584,85765,51602,34888,12905,11319
QUERETARO,2018,619,264,302,129,85857,57514,26180,20346,26392,22775,8424,8228,633,140,229,140,71601,38943,15450,38943,16493,12501,3422,3103
"QUINTANA ROO",2018,800,286,449,183,57769,26632,17554,11244,19118,10723,6521,4966,1086,206,396,206,53959,16811,12732,16811,12622,5058,2926,2059
"SAN LUIS POTOSI",2018,882,248,433,167,117828,69890,38952,31151,31347,23267,11049,10116,889,197,303,197,100472,41838,24512,41838,24099,13232,5665,4278
SINALOA,2018,391,171,183,105,46167,32038,15712,15974,18641,15111,6782,7746,511,124,173,124,40230,19951,10432,19951,8081,5681,1984,2153
SONORA,2018,1219,542,586,307,47766,28185,16128,13666,14485,10810,5206,5315,1769,450,606,450,50849,19517,13260,19517,8483,5060,2092,1861
TABASCO,2018,792,336,300,170,101687,50389,28610,20319,35734,22482,10853,9776,653,191,186,191,65732,25115,14605,25115,19001,8837,4315,2791
TAMAULIPAS,2018,1679,692,769,450,83850,51168,26449,23249,30110,23139,9950,10621,1251,393,455,393,63693,30615,16752,30615,14507,9607,3486,3354
TLAXCALA,2018,705,342,402,209,78546,55737,31501,25782,18806,17159,8150,8165,464,123,160,123,44237,26814,12445,26814,9376,7786,2630,2446
VERACRUZ,2018,2432,876,1001,498,218306,131194,55916,46165,68676,52907,18541,19849,1743,472,518,472,119027,54303,22608,54303,28821,17751,4989,4309
YUCATAN,2018,127,49,67,29,57007,45121,16871,15221,13804,14001,4694,5313,265,110,84,110,54402,29033,13695,29033,8891,6236,2250,1946
ZACATECAS,2018,623,330,300,242,53673,41083,18397,19960,16327,14702,5589,7473,727,235,252,235,52466,30051,13196,30051,9649,8369,2173,2498
