ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
MEXICO,2013,8802,4030,5280,2546,444409,252048,222511,133634,158284,101162,72432,48775,7548,1339,2969,1339,244996,74121,81354,74121,52166,19029,19444,6411
MICHOACAN,2013,1497,598,815,426,100327,63355,40897,33466,32801,23375,13899,11812,1714,391,602,391,76331,30080,27531,30080,14424,6068,4961,2595
MORELOS,2013,1130,433,720,327,89044,46531,41996,24637,27576,18400,14138,9668,794,144,296,144,36153,12085,11633,12085,8245,3460,2765,1428
NAYARIT,2013,370,128,238,129,36454,23075,16619,14737,10665,7939,4946,4616,485,135,212,135,23170,10327,8227,10327,4089,1969,1702,1117
"NUEVO LEON",2013,1371,400,829,250,106483,60596,49655,31076,64795,37104,28884,18027,1810,382,685,382,63881,23048,22679,23048,34958,11654,11805,5374
OAXACA,2013,2161,707,1175,440,170855,88362,70364,41653,59661,34267,24778,15946,2114,313,655,313,92676,24154,27495,24154,13013,4568,3725,1604
PUEBLA,2013,2716,1065,1380,559,217475,137227,89716,58037,95545,65379,41812,29249,4590,1172,1604,1172,109647,41524,37299,41524,28771,9298,8938,3613
QUERETARO,2013,962,336,591,243,76328,43676,38186,19334,32614,19895,14640,8137,882,295,373,295,64353,29204,21017,29204,19449,9771,6081,3616
"QUINTANA ROO",2013,681,187,396,131,47810,22034,17563,10561,14722,7033,5410,3511,850,225,340,225,37319,12093,11112,12093,10459,3490,3062,1711
"SAN LUIS POTOSI",2013,1367,405,733,305,135970,76821,58309,40016,66210,40488,28152,20862,1972,458,781,458,126016,46173,45300,46173,46855,18606,18220,8520
SINALOA,2013,2464,1116,1456,813,84095,55573,43585,37637,32877,22343,14632,13901,19928,2729,6730,2729,449250,69797,146526,69797,59786,11789,14947,5953
SONORA,2013,1153,381,669,299,58546,33752,24745,18883,22677,13350,8553,7210,2802,402,884,402,59167,18866,15787,18866,14599,5357,3747,2410
TABASCO,2013,1518,332,740,210,162988,68431,63256,31885,80081,32832,29986,15270,1839,187,653,187,85930,20666,33772,20666,27293,7077,11070,3816
TAMAULIPAS,2013,1705,741,1022,562,136233,71075,64612,44171,84465,46073,41031,27499,1921,534,830,534,121163,52200,45987,52200,71577,27262,25187,15418
TLAXCALA,2013,565,192,362,130,62365,39758,30851,22053,31481,22072,15003,11846,697,263,336,263,60569,24146,25311,24146,24304,10802,10783,4884
VERACRUZ,2013,3167,1071,1583,618,340040,193723,113642,74715,98346,61083,35332,25182,3194,702,973,702,135772,53311,39451,53311,20416,9373,6137,3600
YUCATAN,2013,467,147,219,90,75670,42228,26874,16319,31110,19274,11410,7683,881,218,465,218,81197,27323,28494,27323,23666,9092,8398,4107
ZACATECAS,2013,655,249,423,208,63957,45762,29455,25379,27758,21758,12375,11817,1143,358,481,358,87738,41770,26594,41770,25818,14121,8860,6760
