ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
GUANAJUATO,2017,2616,1107,1287,706,336366,253869,117209,115526,111253,107294,42038,50978,2442,832,852,832,343922,224197,88059,224197,77404,68228,20042,20670
GUERRERO,2017,1613,653,733,436,150760,87610,44574,35124,35895,28216,12647,12344,1310,314,411,314,107805,38102,22664,38102,23200,10217,5048,3797
HIDALGO,2017,1064,464,495,286,121641,87373,37756,33646,39073,34945,12414,13386,842,262,222,262,69325,37217,15297,37217,17822,12751,3815,3541
JALISCO,2017,1779,937,922,664,150049,129556,56391,65297,51605,54739,19549,27670,1731,578,578,578,145615,100203,39478,100203,28751,26823,7622,9626
MEXICO,2017,3564,2061,2002,1124,307346,244818,109369,96158,73945,69293,25998,27567,2207,940,694,940,174851,115718,41040,115718,36934,32923,7997,8108
MICHOACAN,2017,841,482,426,282,70502,52121,22408,21583,17681,16889,6178,7539,796,306,266,306,64868,38087,14742,38087,13119,10496,2932,2973
MORELOS,2017,956,470,542,304,60970,42466,22484,18713,15893,14220,6203,6533,528,207,201,207,27109,15629,7163,15629,5918,4373,1484,1261
NAYARIT,2017,687,434,244,252,26633,21756,8686,11365,9308,9638,3165,5211,593,283,178,283,22783,12538,5548,12538,3888,2988,1059,1294
"NUEVO LEON",2017,1282,596,593,290,83085,56987,28305,23351,33617,27204,12142,11350,1436,606,450,606,68808,38044,17794,38044,12621,9288,3169,2829
OAXACA,2017,412,164,213,86,45532,31967,13939,12265,10057,10074,3499,4255,300,71,105,71,27467,13960,6178,13960,6270,4128,1303,1397
PUEBLA,2017,1397,691,700,372,247454,172656,84233,69587,85691,74890,32045,31813,1086,451,328,451,140286,77234,35630,77234,36074,24386,8986,7631
QUERETARO,2017,646,273,338,183,83102,57301,25274,20172,24700,21645,7855,7930,573,191,198,191,67208,37774,13934,37774,14302,10771,2830,2635
"QUINTANA ROO",2017,894,283,460,178,62825,29476,18609,12148,21642,12188,7096,5458,1172,261,380,261,57485,18832,13539,18832,13976,5654,3204,2342
"SAN LUIS POTOSI",2017,994,391,522,251,116556,71679,39786,32100,30258,22504,10953,10022,1137,294,409,294,95972,40479,24039,40479,19953,10603,4857,3418
SINALOA,2017,366,167,171,103,42207,28903,14871,14369,16869,13357,6284,6766,346,163,105,163,35862,17343,9197,17343,6517,4430,1666,1691
SONORA,2017,1114,491,539,305,42257,25127,14366,12007,11472,8360,4179,4091,1786,434,581,434,45028,17184,11516,17184,7191,3989,1732,1522
TABASCO,2017,982,328,464,195,108677,54696,30506,21636,34846,22938,10360,10022,658,181,208,181,65789,25365,15012,25365,16280,7548,3645,2519
TAMAULIPAS,2017,1893,870,882,479,83583,53125,26455,22876,31294,24573,10382,10697,2071,759,660,759,63331,30931,16520,30931,14205,8680,3475,3099
TLAXCALA,2017,621,289,353,198,67501,50112,26763,23187,17338,16498,7539,8045,320,134,133,134,38803,24259,10536,24259,7467,6178,2054,1906
VERACRUZ,2017,2364,928,913,480,177240,111353,45975,38761,39238,34080,11104,12522,1475,400,399,400,93496,45198,18866,45198,20520,13257,3788,3397
YUCATAN,2017,497,242,232,123,43494,31550,13721,11258,9763,8764,3476,3594,1231,504,373,504,38943,18091,10141,18091,5446,3565,1354,1073
ZACATECAS,2017,549,300,255,166,46549,37336,16190,18527,13132,12760,5096,6683,664,216,185,216,45263,27517,11001,27517,7200,6155,1473,1881
