ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
OAXACA,2016,504,206,245,105,62723,44425,20369,17319,14420,13813,5363,5828,503,130,162,130,38946,19474,9105,19474,7044,4577,1653,1422
PUEBLA,2016,1422,767,658,360,171194,120977,57358,48271,54210,49823,20371,20877,942,430,326,430,83749,43150,20670,43150,16012,9587,4053,2986
QUERETARO,2016,763,311,348,184,72241,50688,21911,17344,21373,19060,6814,7091,605,222,180,222,57385,32847,11719,32847,10097,7378,1869,2089
"QUINTANA ROO",2016,1121,434,485,206,51340,24712,15415,10223,13998,8562,4552,3760,1222,278,373,278,45888,14594,10895,14594,7351,3106,1882,1260
"SAN LUIS POTOSI",2016,1217,590,619,312,95657,58334,33277,26335,26811,20120,9744,9251,1485,410,484,410,76392,31889,20225,31889,12210,6590,3298,2130
SINALOA,2016,293,144,134,77,29919,20547,10560,10168,11808,9183,4309,4796,242,114,82,114,24376,11215,6525,11215,3918,2470,1052,925
SONORA,2016,871,423,414,242,31657,19641,10365,8748,8801,6628,3194,2955,1369,369,398,369,30534,12106,7862,12106,4368,2430,1033,856
TABASCO,2016,859,351,336,184,68777,35701,18883,13544,17602,12706,5123,5386,707,214,193,214,41450,16409,9345,16409,6632,3289,1490,1168
TAMAULIPAS,2016,1308,652,572,307,78380,50150,25651,21782,32138,23692,11105,10868,1306,530,439,530,55876,27069,14400,27069,10487,6185,2723,2400
TLAXCALA,2016,615,279,407,204,62238,48460,24465,21722,17939,17844,7456,8171,360,138,148,138,33561,21424,8836,21424,5464,4521,1312,1387
VERACRUZ,2016,1255,561,482,275,90325,58233,23250,20106,17218,14990,4848,5498,758,222,207,222,48980,24919,9750,24919,9919,6324,1869,1694
YUCATAN,2016,29,7,12,3,7190,4090,2255,1338,2573,1745,946,669,31,6,13,6,5466,2339,1413,2339,1300,720,331,188
ZACATECAS,2016,632,377,298,240,37907,31299,13134,14931,11776,11709,4295,5832,798,339,228,339,36534,23580,8664,23580,4464,4007,926,1300
